export_timestamp,trading_date,ticker,company,predicted_signal,confidence,confidence_percentage,signal_strength,close_price,RSI,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,ema_50,macd,macd_signal,macd_histogram,macd_trend,price_vs_sma20,price_vs_sma20_pct,price_vs_sma50,price_vs_sma50_pct,price_vs_ema20,sma20_vs_sma50,ema20_vs_ema50,trend_direction,sma5_vs_sma20,volume_sma_20,volume_sma_ratio,price_momentum_5,price_momentum_10,rsi_momentum,daily_volatility
2025-11-26 09:01:18,2025-11-25,AZN,AstraZeneca PLC,Overbought (Sell),0.8353787205754429,83.5,Strong,93.24,86.30630630630642,90.686,0.0,0.0,0.0,91.41453132588637,90.8752851300601,90.60077764406309,90.44181943327897,0.24418949358747,0.0898544353393117,0.1543350582481583,Bullish,0.0,-100.0,0.0,-100.0,1.0291302395472304,0.0,1.001757574225952,Downtrend,0.0,0.0,0.0,1.0412060301507537,0.0,6.29365608492742,1.2977262977262911
2025-11-26 09:01:18,2025-11-25,BIIB,Biogen Inc.,Overbought (Sell),0.8224587432799282,82.2,Strong,181.96,87.02309888398649,174.038,0.0,0.0,0.0,176.12266148615834,174.12971158040403,173.045324020002,172.38981511729781,0.9787314317962057,0.46242870440979145,0.5163027273864143,Bullish,0.0,-100.0,0.0,-100.0,1.0515164222465068,0.0,1.0038024804554617,Downtrend,0.0,0.0,0.0,1.0777705384114198,0.0,0.3599887212764372,3.781050780391292
2025-11-26 09:01:18,2025-11-25,CDNS,"Cadence Design Systems, Inc.",Oversold (Buy),0.9326727021178705,93.3,Strong,303.66,25.405294479786562,303.52200000000005,0.0,0.0,0.0,303.64005828071885,303.968783028144,304.2415265604175,304.4406255241854,-0.26373138490697556,-0.24982290749995634,-0.013908477407019226,Bearish,0.0,-100.0,0.0,-100.0,0.9980886022792749,0.0,0.9993460170979971,Downtrend,0.0,0.0,0.0,1.0014841199168893,0.0,2.2694320241708397,2.4962128696568477
2025-11-26 09:01:18,2025-11-25,CHTR,"Charter Communications, Inc.",Oversold (Buy),0.9316066199270012,93.2,Strong,200.76,28.609015962111712,198.35399999999998,0.0,0.0,0.0,199.6541816415736,199.35734921759104,199.24746856648275,199.2037287284757,0.0879398657280035,-0.04374451519121726,0.13168438091922074,Bullish,0.0,-100.0,0.0,-100.0,1.0075912203271609,0.0,1.0002195733899473,Downtrend,0.0,0.0,0.0,1.000348796651552,0.0,-3.0680026714283883,3.0135485156405717
2025-11-26 09:01:18,2025-11-25,COST,Costco Wholesale Corporation,Oversold (Buy),0.940943795137901,94.1,Strong,894.33,28.88566092550333,892.6700000000001,0.0,0.0,0.0,893.3611510441964,894.3124583081761,895.0114649398657,895.5034762328968,-0.6660729342128207,-0.5757688569752963,-0.09030407723752432,Bearish,0.0,-100.0,0.0,-100.0,0.9992385964129392,0.0,0.9994505757865946,Downtrend,0.0,0.0,0.0,0.9991620860705188,0.0,7.975989003901205,1.1841266646539903
2025-11-26 09:01:18,2025-11-25,ELF,e.l.f.Beauty,Oversold (Buy),0.9578151866321535,95.8,Strong,72.11,15.290009110233896,70.614,0.0,0.0,0.0,71.20033511413308,71.16031638575151,71.19651149728155,71.2382852108925,-0.043027586551431796,-0.09031399680076974,0.04728641024933794,Bullish,0.0,-100.0,0.0,-100.0,1.0128305233431742,0.0,0.9994136058513019,Downtrend,0.0,0.0,0.0,0.9869969887763481,0.0,1.2203482486389845,3.4599916793787338
2025-11-26 09:01:18,2025-11-25,FTV,Fortive Corporation,Overbought (Sell),0.7925207714652077,79.3,Moderate,53.28,71.57001414427155,51.964,0.0,0.0,0.0,52.337076250607105,51.957582160528005,51.74579724364497,51.616786732568606,0.19176181620721877,0.09297418284791886,0.09878763335929991,Bullish,0.0,-100.0,0.0,-100.0,1.0296488379361755,0.0,1.0024993905905997,Downtrend,0.0,0.0,0.0,1.057562524811433,0.0,4.903347477605038,1.5484234234234153
2025-11-26 09:01:18,2025-11-25,GOOGL,Alphabet Inc.,Overbought (Sell),0.796726216939591,79.7,Moderate,323.44,71.99055861526355,304.788,0.0,0.0,0.0,309.8229626032055,304.6159222812636,301.8137458195357,300.13494354810337,2.521771929704528,1.131910475897932,1.3898614538065959,Bullish,0.0,-100.0,0.0,-100.0,1.0716543049480434,0.0,1.0055934915527864,Downtrend,0.0,0.0,0.0,1.137751512593218,0.0,-0.5886667368490919,3.4565916398713847
2025-11-26 09:01:18,2025-11-25,JD,"JD.com, Inc.",Oversold (Buy),0.9392615309585044,93.9,Strong,29.14,22.433460076045492,28.879,0.0,0.0,0.0,29.017746478873242,29.019059148534556,29.03223183687244,29.044745516075505,-0.01422767635255795,-0.02301755020019829,0.00878987384764034,Bullish,0.0,-100.0,0.0,-100.0,1.0037120178611514,0.0,0.9995691585868385,Downtrend,0.0,0.0,0.0,0.9894736842105264,0.0,-2.0109843683986526,1.509951956074117
2025-11-26 09:01:18,2025-11-25,MAR,"Marriott International, Inc.",Overbought (Sell),0.7720958489162187,77.2,Moderate,304.12,71.94994786235628,292.554,0.0,0.0,0.0,295.6316949975717,292.7994567729688,291.28616692515794,290.38381596789793,1.3597315788123865,0.5936634746874432,0.7660681041249433,Bullish,0.0,-100.0,0.0,-100.0,1.0440591917230986,0.0,1.0031074423147597,Downtrend,0.0,0.0,0.0,1.0750088370448923,0.0,-1.6204981977731023,2.7423385505721343
